Title,Author,Year,Neural network method,Hybrid method,Transformation,Evolutionary algorithm,Purpose of evolutionary algorithm,Volatility definition,Input data,Output data,Input structure,Input window,Output window,Error metric
Improving DWT-RNN model via B-spline wavelet multiresolution to forecast a high-frequency time series,"Zeinab Hijiabotorabi, Aliyeh Kazemi, Faramarz Famil Samavati, Farid Mohammad Maalek Ghhaini",2019,RNN,-,Wavelet transform,-,,Historical volatility,"S&P500, NASDAQ, DJIA, NYSE","S&P500, NASDAQ, DJIA, NYSE","Single asset, multivariate (volatilities, log returns, forecast volatilities, wavelet decomposed volatilities)",3 (n/a if days or months),1--22 (month),"FRMSE, FMAE, FMAPE"
Volatility of main metals forecast by a hybrid ANN-GARCH model with regressors,"Werner Kristjanpoller R, Esteban Hernandez P",2017,MLP,GARCH,-,-,,Historical volatility,"Gold, silver, copper, SZSE, FTSE100, SENSEX, US-EURO exchange, US-YEN exchange, oil","Gold, silver, copper","Multi-asset, multivariate (squared log returns, GARCH prediction, SZSE log returns, DJIA log returns, Euro, FTSE log returns, SENSEX log returns, Yen, oil price variation)",252,"1--14, 1--21, 1--28","MSE, HMSE, MCS"
Gold volatility prediction using a CNN-LSTM approach,"Andres Vidal, Werner Kristjanpoller",2020,"CNN (VGG16), RNN (LSTM)",-,-,-,,Historical volatility,Gold (spot),Gold (spot),"Single asset, univariate (squared log returns)","all (4) for LSTM, 80 for CNN (an image is composed of 80 lags)",1--14,"MCS, MSE"
Exploiting the low risk anomaly using machine learning to enhance the Black Litterman framework: evidence from south Korea,"Sujin Pyo, Jaewook Lee",2018,MLP,-,-,-,,Historical volatility (n/a),KOSPI200,KOSPI200,"Single asset, univariate (volatility)",10 (months),1--21 (month),"MAPE, MAE, RMSE"
Volatility prediction model for option pricing: a soft computing approach,"Vijayalaxmi Harish, Chandrashekara S Adiga",2015,MLP,-,-,-,,Historical volatility,S&P500,S&P500,"Single asset, multivariate (log returns, volatility)",Default 2,1--n/a,R2
Forecasting of financial data: a novel fuzzy logic neural network based on error-correction concept and statistics,Dusan Marcek,2018,MLP (Gaussian RBF),-,-,-,,Historical volatility (n/a),BUX,BUX,"Single asset, univariate (log returns)",2,1--n/a,"MAPE, RMSE"
Exploring the predictability of range based volatility estimators using recurrent neural networks,"Gabor Petnehazi, Jozsef Gall",2019,RNN (LSTM),-,-,-,,"Historical volatility, other (range based)",DJIA (all constituents),DJIA (all constituents),"Single asset, univariate (volatility proxy)",all (10),1--21,"accuracy, precision, recall, F1, RMSE, SMAPE"
Forecasting volatility with a stacked model based on a hybridized artificial neural network,"Eduardo Ramos-Perez, Pablo J. Alonso-Gonzalez, Jose Javier Nunez-Velazquez",2019,MLP (stacked ANN),-,-,-,,Historical volatility,S&P500,S&P500,"Single asset, multivariate (volatility (n=5), RF outputs, SVM outputs, GB outputs)",30,1--5,4 different VaR and CVaR tests
Prediction of financial time series and its volatility using a hybrid dynamic neural network trained by sliding mode algorithm and differential evolution,Ranjeeta Bisoi and P.K. Dash,2015,MLP (FLNN and dynamic NN),-,-,Differential evolution,Network pretraining,Historical volatility,"NIFTY, RIL","NIFTY, RIL","Single asset, multivariate (volatility, log returns, SMA, EMA, MACD)",5,"1---4, 3---2, 7--2, 15--10, 30--25","ME, MAE, RMSE"
A new adaptive network-based fuzzy inference system with adaptive adjustment rules for stock market volatility forecasting,"Lijun Tan, Shiheng Wang, Ke Wang",2017,MLP (ANFIS),Fuzzy,PCA,Fruit fly optimisation,Parameter optimisation,Historical volatility,"600827.SH, 600115.SH, 600018.SH, SSE composite index","600827.SH, 600115.SH, 600018.SH","Multi-asset, multivariate (principal components of SSE composite index (close, high, low, volume, range of daily fluctuations, swing, price earnings ratio, price to book ratio, price to sales ratio, price cash flow ratio, dividend yield ratio) and the interested stock (close, high, low, volume, range of daily fluctuations, swing, price earnings ratio, price to book ratio, price to sales ratio, price cash flow ratio, dividend yield ratio, BOLL, BIAS, DMA, EXPMA, MACD, RSI, KDJ, stage high, stage low, up days, down days))",n/a,1--21 (month),Error
Forecasting the volatility of stock price index: a hybrid model integrating LSTM with multiple GARCH-type models,"Ha Young Kim, Chang Hyun Won",2018,RNN (LSTM),"GARCH, EWMA",-,-,,Historical volatility,"KOSPI200, 3y Korea Treasury Bond, 3y AA grade corporate bond, gold, crude oil",KOSPI200,"Multi-asset, multivariate (KOSPI price, KOSPI log return, KOSPI differential rate of return at -1 time, 3y KTB interest rate, 3y AA grade corporate bonds interest rate, crude oil price, gold price, parameters estimated from GARCH, parameters estimated from EGARCH, parameters estimated from EWMA)",all (22),1--n/a,"MAE, MSE, HMAE, HMSE, Wilcoxon signed rank test, Diebold Mariano test"
A variational mode decomposition approach for analysis and forecasting of economic and financial time series,Salim Lahmiri,2016,MLP (General regression NN),-,VMD,-,,Implied volatility,VIX,VIX,"Single asset, multivariate (VMD decomposed VIX)",n/a,n/a,"MAE, MAPE, RMSE"
Gold price volatility: a forecasting approach using the artificial neural network-GARCH model,"Werner Kristjanpoller, Marcel C. Minutolo",2015,MLP,GARCH,-,-,,Historical volatility,"Gold (spot and futures), DJIA, EUR exchange rate, FTSE100, JPY exchange rate, oil",Gold (spot and futures),"Multi-asset, multivariate (GARCH predictions, square log returns, DJIA log returns, EUR exchange rate variation, FTSE log returns, JPY exchange rate variation, daily price variation of oil)",252,"1--14, 1--21, 1--28","MSE, RMSE, MAE, MAPE"
A hybrid VMD-BiGRU model for rubber futures time series forecasting,"Qing Zhu, Fan Zhang, Shan Liu, Yiqiong Wu, Lin Wang",2019,RNN (Bi-GRU),-,VMD,-,,Historical volatility,RUL9 (rubber),RUL9 (rubber),"Single asset, multivariate (open, high, low, close, volume, VMD decomposed log returns, VMD decomposed 7-day volatility)",all (n/a),"1--7, 1--30","RMSE, MAPE, R2, DA"
Performance of deep learning in prediction of stock market volatility,"Kyoung-Sook Moon, Hongjoon Kim",2019,RNN (LSTM),-,-,-,,Historical volatility (of stock price),"S&P500, NASDAQ, DAX, KOSPI200, IPC","S&P500, NASDAQ, DAX, KOSPI200, IPC","Single asset, univariate (volatility), multivariate (volatility, open, high, low, volume, returns, MA(m1), MA(m2), MA(m3), EMA(m1), EMA(m2), EMA(m3))",all (n/a),n/a,"MSE, MAPE, TPR"
Forecasting volatility of oil price using an artificial neural network-GARCH model,"Werner Kristjanpoller, Marcel C Minutolo",2016,MLP,GARCH,-,-,,Historical volatility,"Oil (spot and futures), DJIA, EUR exchange rate, FTSE100, JPY exchange rate",Oil (spot and futures),"Multi-asset, multivariate (GARCH predictions, square log returns, DJIA log returns, EUR exchange rate variation, FTSE log returns, JPY exchange rate variation)",252,"1--14, 1--21, 1--28","MSE, RMSE, MAE, HMSE, HMAE, MCS"
Multistep prediction of financial asset return volatility using parsimonious autoregressive sequential model,"Xiangru Fan, Xiaoqian Wei, Di Wang, Wen Zhang, Wu Qi",2020,RNN (GRU),-,-,-,,Historical volatility (n/a),"S&P500, NASDAQ100, Nikkei225","S&P500, NASDAQ100, Nikkei225","Single asset, multivariate (returns to the power of 1, 2, 3, 4)","20, 40, 60","1--n/a, 2--n/a, 3--n/a, 4--n/a, 5--n/a","NLL, Christophersen's independence test, Kupiec's proportion of failures coverage test"
Extreme learning with chemical reaction optimisation for stock volatility prediction,"Sarat Chandra Nayak, Bijan Bihari Misra",2020,MLP (ELM),-,-,Chemical reaction optimisation,Network pretraining,Historical volatility,SENSEX,SENSEX,"Single asset, univariate (sigmoid-normalised close price)",6,1--nearest option expiry,"MAPE, ARV, Wilcoxon signed rank, Diebold Mariano test"
Forecasting financial time series volatility using particle swarm optimisation trained quantile regression neural network,"Dadabada Pradeepkumar, Vadlamani Ravi",2017,MLP (Quantile regression NN),-,-,Particle swarm optimisation,Parameter optimisation,Historical volatility,"Gold, crude oil, S&P500, NSE","Gold, crude oil, S&P500, NSE",n/a,n/a,1---252,"MSE, Dstat, Theils inequality coefficient (U), Diebold Mariano test"
